"datasetS","uriS","hdtS","datasetT","uriT","hdtT","cDatatypesS","cDatatypesT"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-058.gz","http://citeseer.rkbexplorer.com/id/resource-CS303486","http://download.lodlaundromat.org/b7081efa178bc4ab3ff3a6ef5abac9b2?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-058.gz","http://ibm.rkbexplorer.com/id/tech-report-b9974bfbcdbd6e2898c81ec760b1403f","http://download.lodlaundromat.org/b7081efa178bc4ab3ff3a6ef5abac9b2?type=hdt","2","1"
"models/cs_metadata_2.rdf","http://citeseer.rkbexplorer.com/id/resource-CS97222","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","models/cs_metadata_2.rdf","http://ibm.rkbexplorer.com/id/inproceedings-b9d62f1010a9d98c03222a9f8657c60f","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","3","2"
"models/cs_metadata_2.rdf","http://citeseer.rkbexplorer.com/id/resource-CS98423","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","models/cs_metadata_2.rdf","http://ibm.rkbexplorer.com/id/article-59d6b6d7c30cd9243772aae46e1f5233","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","3","4"
"models/cs_metadata_5.rdf","http://citeseer.rkbexplorer.com/id/resource-CS545767","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","models/cs_metadata_5.rdf","http://ibm.rkbexplorer.com/id/inproceedings-6047a0d85e2ec959d4ff1edbe565cf1f","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","2","1"
"models/cs_metadata_1.rdf","http://citeseer.rkbexplorer.com/id/resource-CS391295","http://download.lodlaundromat.org/c66ff6bbdb8eeac9c17adbe7dfe4efd5?type=hdt","models/cs_metadata_1.rdf","http://ibm.rkbexplorer.com/id/article-ddfb91c058e84c5eba1f5989612dec86","http://download.lodlaundromat.org/c66ff6bbdb8eeac9c17adbe7dfe4efd5?type=hdt","3","4"
"models/cs_metadata_4.rdf","http://citeseer.rkbexplorer.com/id/resource-CS438124","http://download.lodlaundromat.org/364cbc9e0ebaaafba04d235b360ac584?type=hdt","models/cs_metadata_4.rdf","http://ibm.rkbexplorer.com/id/article-01e709f98d25bfcc02d97893570547e5","http://download.lodlaundromat.org/364cbc9e0ebaaafba04d235b360ac584?type=hdt","3","4"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://citeseer.rkbexplorer.com/id/resource-CS92284","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://ibm.rkbexplorer.com/id/inproceedings-c20732198bc660949407d31b95297e06","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","3","2"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-001.gz","http://citeseer.rkbexplorer.com/id/resource-CS357435","http://download.lodlaundromat.org/4cd7e62eb7f8db7888f92200ccc930f6?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-001.gz","http://ibm.rkbexplorer.com/id/article-8f0232ac3b6ef664c5e92b9329896a43","http://download.lodlaundromat.org/4cd7e62eb7f8db7888f92200ccc930f6?type=hdt","2","4"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://citeseer.rkbexplorer.com/id/resource-CS547052","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://ibm.rkbexplorer.com/id/tech-report-25964adb2c718490181104b5f650870e","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","3","1"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-001.gz","http://citeseer.rkbexplorer.com/id/resource-CS318102","http://download.lodlaundromat.org/4cd7e62eb7f8db7888f92200ccc930f6?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-001.gz","http://ibm.rkbexplorer.com/id/tech-report-35631c67bbcd68f62980806e46924368","http://download.lodlaundromat.org/4cd7e62eb7f8db7888f92200ccc930f6?type=hdt","2","1"
"models/cs_metadata_5.rdf","http://citeseer.rkbexplorer.com/id/resource-CS546318","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","models/cs_metadata_5.rdf","http://ibm.rkbexplorer.com/id/tech-report-b15c8177ab49a05a19f599e543a631c3","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","3","1"
"models/cs_metadata_5.rdf","http://citeseer.rkbexplorer.com/id/resource-CS545488","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","models/cs_metadata_5.rdf","http://ibm.rkbexplorer.com/id/inproceedings-3f57fb0d0d7f178d3cb2db2ae80e0d9a","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","2","2"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://citeseer.rkbexplorer.com/id/resource-CS546059","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://ibm.rkbexplorer.com/id/inproceedings-16b794fd23b5b9769bd0d8804867ffe4","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","2","2"
"models/cs_metadata_5.rdf","http://citeseer.rkbexplorer.com/id/resource-CS546834","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","models/cs_metadata_5.rdf","http://ibm.rkbexplorer.com/id/article-5d0b5987d999f45ed291ecb0db267613","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","2","3"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-020.gz","http://citeseer.rkbexplorer.com/id/resource-CS512","http://download.lodlaundromat.org/f1c94aede816e06444382be01843e5bb?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-020.gz","http://ibm.rkbexplorer.com/id/inproceedings-1a71204dec1108f646330cbca9c4dfc3","http://download.lodlaundromat.org/f1c94aede816e06444382be01843e5bb?type=hdt","3","3"
